cell_id,latitude,longitude,datetime_utc,temperature_2m,dew_point_2m,relative_humidity_2m,wind_speed_10m,U,delta_Td,RH_norm,D_norm,W_norm,FDI,visibility,driving_condition
1.0,52.50582185210293,13.34409945119787,2024-11-06 00:00:00+00:00,4.4065,4.4065,100.0,3.0547013,0.84852815,0.0,1.0,1.0,0.8302944,0.9660589,< 50 m,Very dangerous
1.0,52.50582185210293,13.34409945119787,2024-11-06 01:00:00+00:00,4.3564997,4.3564997,100.0,2.52,0.7,0.0,1.0,1.0,0.86,0.972,< 50 m,Very dangerous
1.0,52.50582185210293,13.34409945119787,2024-11-06 02:00:00+00:00,4.4065,4.4065,100.0,4.73506,1.3152945,0.0,1.0,1.0,0.7369411,0.94738823,< 50 m,Very dangerous
1.0,52.50582185210293,13.34409945119787,2024-11-06 03:00:00+00:00,4.3065,4.3065,100.0,4.510787,1.2529964,0.0,1.0,1.0,0.74940073,0.9498802,< 50 m,Very dangerous
1.0,52.50582185210293,13.34409945119787,2024-11-06 04:00:00+00:00,4.1565,4.1565,100.0,4.1046314,1.1401755,0.0,1.0,1.0,0.7719649,0.954393,< 50 m,Very dangerous
1.0,52.50582185210293,13.34409945119787,2024-11-06 05:00:00+00:00,4.1064997,4.1064997,100.0,3.6,1.0,0.0,1.0,1.0,0.8,0.96000004,< 50 m,Very dangerous
1.0,52.50582185210293,13.34409945119787,2024-11-06 06:00:00+00:00,3.9065,3.9065006,100.0,2.8116899,0.781025,-4.7683716e-07,1.0,1.0,0.843795,0.968759,< 50 m,Very dangerous
1.0,52.50582185210293,13.34409945119787,2024-11-06 07:00:00+00:00,3.7565,3.7565,100.0,4.6800003,1.3000001,0.0,1.0,1.0,0.74,0.948,< 50 m,Very dangerous
1.0,52.50582185210293,13.34409945119787,2024-11-06 08:00:00+00:00,3.7565,3.7565,100.0,4.3498964,1.2083046,0.0,1.0,1.0,0.75833905,0.95166785,< 50 m,Very dangerous
1.0,52.50582185210293,13.34409945119787,2024-11-06 09:00:00+00:00,3.4065,2.9753826,97.0,3.219938,0.89442724,0.43111753,0.4,0.78444123,0.82111454,0.6379994,200–500 m,Moderate fog
1.0,52.50582185210293,13.34409945119787,2024-11-06 10:00:00+00:00,3.9065,3.0287511,94.0,4.0249224,1.118034,0.87774897,0.0,0.5611255,0.7763932,0.37972885,500–1000 m,Light fog
1.0,52.50582185210293,13.34409945119787,2024-11-06 11:00:00+00:00,4.4065,3.675476,95.0,3.4152596,0.94868326,0.7310238,0.0,0.6344881,0.81026334,0.4158479,500–1000 m,Light fog
1.0,52.50582185210293,13.34409945119787,2024-11-06 12:00:00+00:00,3.7065,3.5637343,99.0,1.1384199,0.31622776,0.14276576,0.8,0.9286171,0.93675447,0.87879777,50–200 m,Dense fog
1.0,52.50582185210293,13.34409945119787,2024-11-06 13:00:00+00:00,4.1565,3.7227564,97.0,1.0182338,0.28284273,0.43374348,0.4,0.78312826,0.94343144,0.66193765,200–500 m,Moderate fog
1.0,52.50582185210293,13.34409945119787,2024-11-06 14:00:00+00:00,4.4564996,3.725181,95.0,1.609969,0.44721362,0.7313185,0.0,0.63434076,0.91055727,0.43584776,500–1000 m,Light fog
1.0,52.50582185210293,13.34409945119787,2024-11-06 15:00:00+00:00,4.1064997,3.525769,96.0,1.609969,0.44721362,0.5807307,0.2,0.70963466,0.91055727,0.5459653,200–500 m,Moderate fog
1.0,52.50582185210293,13.34409945119787,2024-11-06 16:00:00+00:00,3.8565,3.569338,98.0,2.5455842,0.70710677,0.28716183,0.6,0.8564191,0.8585787,0.7542834,50–200 m,Dense fog
1.0,52.50582185210293,13.34409945119787,2024-11-06 17:00:00+00:00,3.6565,3.5137925,99.0,1.9386592,0.53851646,0.14270759,0.8,0.9286462,0.89229673,0.86991787,50–200 m,Dense fog
1.0,52.50582185210293,13.34409945119787,2024-11-06 18:00:00+00:00,3.9565,3.6691058,98.0,2.2768397,0.6324555,0.2873943,0.6,0.85630286,0.87350893,0.757223,50–200 m,Dense fog
1.0,52.50582185210293,13.34409945119787,2024-11-06 19:00:00+00:00,3.9565,3.6691058,98.0,2.3051248,0.64031243,0.2873943,0.6,0.85630286,0.8719375,0.7569087,50–200 m,Dense fog
1.0,52.50582185210293,13.34409945119787,2024-11-06 20:00:00+00:00,4.1565,3.7227564,97.0,1.1384199,0.31622776,0.43374348,0.4,0.78312826,0.93675447,0.6606022,200–500 m,Moderate fog
1.0,52.50582185210293,13.34409945119787,2024-11-06 21:00:00+00:00,4.3065,3.576066,95.0,0.71999997,0.2,0.73043394,0.0,0.634783,0.96,0.44591323,500–1000 m,Light fog
1.0,52.50582185210293,13.34409945119787,2024-11-06 22:00:00+00:00,4.5065,3.6244874,94.0,0.35999998,0.1,0.88201237,0.0,0.5589938,0.98,0.41959754,500–1000 m,Light fog
1.0,52.50582185210293,13.34409945119787,2024-11-06 23:00:00+00:00,4.5065,3.6244874,94.0,4.3349743,1.2041595,0.88201237,0.0,0.5589938,0.7591681,0.37543115,500–1000 m,Light fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 00:00:00+00:00,4.452,4.452,100.0,3.0547013,0.84852815,0.0,1.0,1.0,0.8302944,0.9660589,< 50 m,Very dangerous
2.0,52.506474927024435,13.33733918158125,2024-11-06 01:00:00+00:00,4.402,4.402,100.0,2.52,0.7,0.0,1.0,1.0,0.86,0.972,< 50 m,Very dangerous
2.0,52.506474927024435,13.33733918158125,2024-11-06 02:00:00+00:00,4.452,4.452,100.0,4.73506,1.3152945,0.0,1.0,1.0,0.7369411,0.94738823,< 50 m,Very dangerous
2.0,52.506474927024435,13.33733918158125,2024-11-06 03:00:00+00:00,4.352,4.352,100.0,4.510787,1.2529964,0.0,1.0,1.0,0.74940073,0.9498802,< 50 m,Very dangerous
2.0,52.506474927024435,13.33733918158125,2024-11-06 04:00:00+00:00,4.202,4.202,100.0,4.1046314,1.1401755,0.0,1.0,1.0,0.7719649,0.954393,< 50 m,Very dangerous
2.0,52.506474927024435,13.33733918158125,2024-11-06 05:00:00+00:00,4.152,4.1520004,100.0,3.6,1.0,-4.7683716e-07,1.0,1.0,0.8,0.96000004,< 50 m,Very dangerous
2.0,52.506474927024435,13.33733918158125,2024-11-06 06:00:00+00:00,3.9520001,3.9520004,100.0,2.8116899,0.781025,-2.3841858e-07,1.0,1.0,0.843795,0.968759,< 50 m,Very dangerous
2.0,52.506474927024435,13.33733918158125,2024-11-06 07:00:00+00:00,3.802,3.802,100.0,4.6800003,1.3000001,0.0,1.0,1.0,0.74,0.948,< 50 m,Very dangerous
2.0,52.506474927024435,13.33733918158125,2024-11-06 08:00:00+00:00,3.802,3.802,100.0,4.3498964,1.2083046,0.0,1.0,1.0,0.75833905,0.95166785,< 50 m,Very dangerous
2.0,52.506474927024435,13.33733918158125,2024-11-06 09:00:00+00:00,3.4520001,3.0207233,97.0,3.219938,0.89442724,0.4312768,0.4,0.7843616,0.82111454,0.6379675,200–500 m,Moderate fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 10:00:00+00:00,3.9520001,3.0739279,94.0,4.0249224,1.118034,0.87807226,0.0,0.56096387,0.7763932,0.37966418,500–1000 m,Light fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 11:00:00+00:00,4.452,3.7207077,95.0,3.4152596,0.94868326,0.7312925,0.0,0.63435376,0.81026334,0.4157942,500–1000 m,Light fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 12:00:00+00:00,3.752,3.609182,99.0,1.1384199,0.31622776,0.14281821,0.8,0.9285909,0.93675447,0.8787873,50–200 m,Dense fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 13:00:00+00:00,4.202,3.7680972,97.0,1.0182338,0.28284273,0.43390298,0.4,0.7830485,0.94343144,0.6619057,200–500 m,Moderate fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 14:00:00+00:00,4.502,3.770413,95.0,1.609969,0.44721362,0.73158693,0.0,0.63420653,0.91055727,0.43579406,500–1000 m,Light fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 15:00:00+00:00,4.152,3.5710561,96.0,1.609969,0.44721362,0.5809438,0.2,0.7095281,0.91055727,0.5459227,200–500 m,Moderate fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 16:00:00+00:00,3.902,3.6147325,98.0,2.5455842,0.70710677,0.28726745,0.6,0.8563663,0.8585787,0.75426227,50–200 m,Dense fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 17:00:00+00:00,3.7020001,3.5592391,99.0,1.9386592,0.53851646,0.14276099,0.8,0.9286195,0.89229673,0.8699072,50–200 m,Dense fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 18:00:00+00:00,4.002,3.7144995,98.0,2.2768397,0.6324555,0.28750038,0.6,0.8562498,0.87350893,0.7572018,50–200 m,Dense fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 19:00:00+00:00,4.002,3.7144995,98.0,2.3051248,0.64031243,0.28750038,0.6,0.8562498,0.8719375,0.7568875,50–200 m,Dense fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 20:00:00+00:00,4.202,3.7680972,97.0,1.1384199,0.31622776,0.43390298,0.4,0.7830485,0.93675447,0.66057026,200–500 m,Moderate fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 21:00:00+00:00,4.352,3.621298,95.0,0.71999997,0.2,0.73070216,0.0,0.6346489,0.96,0.44585958,500–1000 m,Light fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 22:00:00+00:00,4.552,3.6696641,94.0,0.35999998,0.1,0.8823359,0.0,0.55883205,0.98,0.41953284,500–1000 m,Light fog
2.0,52.506474927024435,13.33733918158125,2024-11-06 23:00:00+00:00,4.552,3.6696641,94.0,4.3349743,1.2041595,0.8823359,0.0,0.55883205,0.7591681,0.37536645,500–1000 m,Light fog
3.0,52.50960302760722,13.343573889730848,2024-11-06 00:00:00+00:00,4.387,4.3870006,100.0,3.0547013,0.84852815,-4.7683716e-07,1.0,1.0,0.8302944,0.9660589,< 50 m,Very dangerous
